Essay topic type,Essay topic,Word limit,College Name,Degree,major,Synopsis,Questions Ivy will ask ,,,,,,,,,,,,,,
38,"Supplementary Personal Statement

Needs to have details encompassing the following (as stated by the university): The supporting statement is your opportunity to address the academic and any non-academic entry requirements as described in the prospectus. You should address the following:
Your academic interests and reasons for applying to this programme.
Your career objectives and any relevant non-academic achievements as well as any publications. Outline any other relevant experience including attendance at specialist workshops or short courses.
Applicants for taught programmes, in particular flexible programmes, should indicate, where appropriate, the options/modules in which they are likely to be interested.
Should you wish accreditation of prior learning to be considered as part of your application please detail the reason for your request and course units from which exemption is sought, including courses taken and the equivalent UCL courses, e.g. ""Biology B100, Cellular and Molecular Biology, 1 course unit”.
",3000 characters,University College London,Masters of Science  ,Neuroscience,"Crux of the Topic
UCL is assessing whether you have the academic readiness, relevant experience, and clear career goals to thrive in their MSc Neuroscience program. They want to see:

Depth of academic interest in neuroscience and alignment with UCL’s modules

Evidence of preparation through prior coursework, research, and specialized learning opportunities

Professional vision for how this MSc supports your long-term career

Holistic fit by considering relevant non-academic achievements, workshops, or publications

Awareness of UCL’s structure (modules/options) and possibly accreditation requests (if applicable)

How to Approach It
Start with Academic Interests

Frame your statement around the neuroscience questions, problems, or themes that most excite you.

Show you’re applying because UCL’s program specifically matches these interests.

Demonstrate Academic Preparation & Experience

Highlight coursework, research projects, lab skills, or relevant techniques (e.g., neuroimaging, computational methods, molecular biology).

Mention specialist workshops, seminars, or certifications if applicable.

Note any publications or posters, even local or undergraduate-level.

Highlight Career Objectives & Broader Achievements

Be concrete about your post-MSc vision (PhD, clinical neuroscience, biotech, neuroinformatics, etc.).

Tie in relevant leadership roles, community engagement, or non-academic achievements that show your broader strengths.

Show Fit with UCL’s Program

If possible, name the modules/options that align with your goals.

Explain why UCL’s approach (interdisciplinary, flexible, research-driven) is ideal for you.

Address Accreditation (if relevant)

If you’re requesting exemption for prior learning, detail clearly the course units already taken and their UCL equivalents.

If not, you can skip this.","Which neuroscience questions or subfields most strongly drive your intellectual curiosity?

What research or coursework best prepared you for advanced study in neuroscience?

Have you attended any workshops, seminars, or conferences that shaped your interests?

Which UCL modules or options are you most drawn to, and why?

How does this MSc directly connect to your long-term career objectives?",,,,,,,,,,,,,,
39,"Please describe your aptitude and motivation for graduate study in your area of specialization, including your preparation for this field of study, your academic plans or research interests, and your future career goals. Please be specific about why UC Berkeley would be a good intellectual fit for you. ",Not mentioned,"University of California, Berkeley",Masters of Science in Engineering,,"Crux of the Topic
UC Berkeley is assessing three core dimensions:

Academic and research readiness – Do you have the technical foundation, intellectual maturity, and research exposure to thrive in a rigorous graduate environment?

Motivation and goals – Are you driven by a clear purpose that graduate study will help you achieve?

Program fit – Why UC Berkeley, specifically? Do you understand what makes this program unique, and can you show alignment?

This essay functions as your Statement of Purpose (SOP) — it must convey both clarity of direction and academic credibility.

","1. What sparked your interest in your engineering specialization?

2. Which project or research experience best prepared you for grad school?

3. What specific problem or topic do you want to research at Berkeley?

4. Which Berkeley professor’s work aligns most with your goals?

5. Where do you see yourself 5–10 years after graduation?",,,,,,,,,,,,,,
40,"How have your background and life experiences, including cultural, geographical, financial, educational or other opportunities or challenges, motivated your decision to pursue a graduate degree at the University of Michigan?

Please see the online application for further details. The Personal Statement should be one to two (1-2) pages double-spaced.
", (1-2) pages double-spaced.,University of Michigan,Masters of Science  ,in Information,"Crux of the Topic
Michigan is looking for:

Personal Motivation: How your background (cultural, geographical, financial, educational, or other) influenced your decision to pursue this degree.

Resilience & Perspective: Any challenges you faced and how they shaped your character and professional ambitions.

Alignment: How the MS in Information at Michigan connects with your past experiences and future goals.

Authenticity: This is not purely academic — they want to understand the human behind the résumé.

How to Approach It
Open with a formative experience: A personal story that reflects your relationship with information, technology, or problem-solving in your community or field.

Connect the dots: Link this story to your academic and professional choices — how each step built your interest in information science.

Highlight challenges and learnings: Show grit, adaptability, and curiosity through specific examples.

Why Michigan: Reference faculty research, labs, or specializations (e.g., data science, human-computer interaction, library science) that directly fit your vision.

Close with impact: Describe how you’ll use this degree to solve meaningful problems in your target domain.","What life event most shaped your decision to study information science?

Which challenge most influenced your career path?

What’s the biggest problem you want to solve in your field?

Which Michigan resources will be critical to your success?

How will you apply your degree to benefit others?",,,,,,,,,,,,,,
41,"For institutional aid: Teachers College seeks to recognize a broad range of talents and extend educational access through its funding sources in order to support the learning and success of a diverse, high achieving student body. If you would like to provide additional information that is pertinent to this institutional goal, please do so in the space below.",1750 characters,Columbia University- Scholarship Essay,Masters of Science  ,Neuroscience and Education,"Crux of the Topic
Teachers College wants to understand how you align with its mission of diversity, access, and excellence. This essay is not about repeating your personal statement, but about showing:

Personal qualities or talents that make you stand out

Unique challenges or barriers overcome that speak to resilience and commitment

Contribution to diversity and access in education, health, or neuroscience

Why financial support will empower your success and help you create impact

This is essentially your chance to connect your lived experience, values, and achievements with TC’s goal of fostering a diverse, talented community.

How to Approach It
Start with a Defining Personal Context

Share a concise background (e.g., cultural, socioeconomic, first-generation, or underrepresented identity) that shaped your journey.

Highlight Talents, Strengths, or Achievements

Emphasize leadership, community engagement, advocacy, or unique skills relevant to neuroscience and education.

Connect to Diversity and Access

Explain how your presence and contributions at TC will strengthen its mission of inclusion and innovation.

Show Why Aid Matters

Without sounding transactional, note how institutional support will enable you to fully engage and maximize your impact.

","What aspects of your background make you a unique contributor to diversity at TC?

Have you overcome barriers (social, financial, or educational) that shaped your resilience?

What talents or strengths distinguish you as a candidate for aid consideration?

How will institutional aid empower you to fully engage at Teachers College?

In what ways will you give back to the TC community if awarded this support?",,,,,,,,,,,,,,
42,"Personal Statement- Your reasons for choosing the course.
Your current creative practice and how this course will help you achieve your future plans.
Any relevant education and experience, especially if you do not have any formal academic qualifications.                                      ",500 words,University of Arts London,Masters of Arts  ,Global Collaborative Design Practice,"Crux of the Topic
UAL’s Global Collaborative Design Practice program emphasizes cross-cultural, interdisciplinary, and socially engaged design. They want to see:

Why you’re choosing this course: A clear, compelling reason that ties your goals to UAL’s focus on collaboration and global impact

Evidence of a current creative practice: Concrete examples of your work, projects, or design philosophy

Educational and/or experiential preparation: Formal studies, informal learning, or professional experience that shaped your practice

Future trajectory: How this MA equips you to make a difference in the design world

How to Approach It
Motivation & Course Fit

Start with the global/social issues or design challenges that fuel your passion.

Tie these directly to the program’s ethos of collaboration and global perspective.

Show Your Current Creative Practice

Discuss your design process, philosophy, and the kind of work you currently do.

Highlight examples where collaboration, cultural context, or social impact were central.

Educational & Professional Background

Mention your degree(s) if applicable, or relevant professional/creative experience.

If lacking formal qualifications, emphasize alternative learning, self-driven projects, or community-based work.

Future Plans

Articulate how UAL’s program will help you achieve concrete goals.

Show a vision that connects global collaboration with innovative design solutions","What global or cultural challenges inspire your passion for collaborative design?

How would you describe your current creative practice in one sentence?

Can you share one project that best reflects your collaborative approach to design?

What skills or perspectives have your past education or experiences given you?

How will this UAL program specifically enable you to achieve your design goals?

",,,,,,,,,,,,,,
43,"Personal Statemet: your reasons for choosing the course
your current creative practice and how this course will help you achieve your future plans
any relevant education and experience, especially if you do not have any formal academic qualifications.",500 words,University of Arts London,Masters of Arts ,Industrial Design,"Crux of the Topic
UAL is looking for:

Clear artistic/creative intent

Awareness of design as a discipline + how you fit into it

Career direction and how UAL fits that path

Creative identity: originality, critical awareness, design thinking

Evidence of practice: even if not formally trained

How to Approach It
Begin with a clear statement of intent — why this course, and why now?

Describe your creative practice: methods, materials, ideas, influences, and design values.

Tie in any past education or hands-on experience (internships, freelance work, exhibitions, etc.).

Demonstrate why UAL’s approach and curriculum is the right next step.

End with specific goals: the kind of designer you want to become and the change you want to create.","Why are you passionate about industrial design — and what form does your creativity take?

What specific problems, users, or industries interest you most in design?

What materials, tools, or techniques do you enjoy working with?

What past experiences, professional or personal, have prepared you for this MA?

Why is now the right time for you to pursue this degree — and what do you want next?",,,,,,,,,,,,,,
44,"Please outline your reasons for applying to this program. 
In what ways will you contribute to the subject matter of the program? You should include a thoughtful description of your background, tentative plan of study or area of inquiry in the field as you now envision it, your professional goals, and an explanation of how this graduate program will help you realize those goals. If you have not been enrolled as a student in the past five years, please address anticipated opportunities and challenges in pursuing the degree and future career expectations upon completion of the program.",500-750 words,Parsons College,Masters of Arts ,Industrial Design,"Crux of the Topic
Parsons is evaluating:

Purpose clarity: Why this degree, why now, and why Parsons?

Design depth: Your critical thinking, creativity, and approach to form, function, systems, and sustainability.

Future vision: Your role in the field and the kind of impact you want to make.

Program fit: Your ability to thrive in Parsons’ project-based, socially-engaged, and interdisciplinary design culture.

How to Approach It
Anchor your statement in a personal design challenge, obsession, or critical question that shapes your goals.

Discuss your creative background (education, self-taught, professional, interdisciplinary).

Propose a tentative inquiry: a design domain, user group, or social/environmental issue you want to explore.

Show what you’ll bring to the program (skills, perspective, collaborations, curiosity).

Explain why Parsons: project-based learning, NYC context, design for social innovation, faculty, labs, etc.

End with your future direction — what you hope to do, build, or lead in the field.","What personal question, frustration, or fascination brought you to industrial design?

How have your past studies, work, or projects prepared you for this MA?

What problem, material, or user group do you want to focus on?

Why is Parsons — and its NYC location — uniquely suited to help you grow?

What kind of designer do you want to become, and why?",,,,,,,,,,,,,,
45,"The statement of purpose is very important to programs when deciding whether to admit a candidate. Your statement should be focused, informative, and convey your research interests and qualifications. You should describe your reasons and motivations for pursuing a graduate degree in your chosen degree program, noting the experiences that shaped your research ambitions, indicating briefly your career objectives, and concisely stating your past work in your intended field of study and in related fields. Your degree program of interest may have specific guidance or requirements for the statement of purpose, so be sure to review the degree program page for more information. Unless otherwise noted, your statement should not exceed 1,000 words.
",1000 words,Harvard University,Masters of Science,Computer Science,"Crux of the Topic
Harvard wants:

Strong academic and research preparation

Well-defined research interests in CS

Awareness of the broader significance of your work

Clear fit with Harvard’s program and resources

How to Approach It

Start with a compelling research or career question

Detail preparation — academic, research, internships, technical skills

Define your research focus clearly

Explain why Harvard is the ideal environment for your work

Conclude with career goals and envisioned impact","What specific CS problem do you want to solve?

Which experiences have most prepared you for research?

Which Harvard labs, faculty, or courses align with your goals?

How will this MS help you achieve your aims?

What’s your ultimate vision in tech or academia?",,,,,,,,,,,,,,
46,"The personal statement should explain the applicant’s commitment to a career in public service, showcase strengths, and provide an overview of background, goals, academic and professional aspirations, and how an SPIA graduate degree can help you accomplish them.  ","Four page, double spaced ",Princeton,Masters,Public affairs ,,"What life event solidified your commitment to public service?

Which experiences best demonstrate your leadership in service or policy settings?

What societal problem are you most passionate about solving — and why?

How has your career shaped your understanding of effective public impact?

What specific SPIA offerings will help you achieve your public service goals?",,,,,,,,,,,,,,
47,"Statement of Academic Purpose:  

Motivation for undertaking the programme(s) 

Academic interests, strengths and background relevant to the programme(s) 

Areas of specific interest within the programme(s) 

Academic ambitions and/or research interests related to the programme(s) 

Any professional aspirations, and how academic work within the programme(s) might help you realise such aspirations 

Other relevant information, such as additional reading or research, work or other relevant experience that has informed your decision to apply for the particular programme(s) 

There is no fixed word limit, but we expect statement(s) to be no longer than 1,000 - 1,500 words. ",1000- 1500 words,London School of Economics & Political Science    ,Masters ,Management,"Crux of the Topic:
LSE is evaluating your academic clarity, intellectual readiness, and professional direction. They want candidates who are self-motivated, research-minded, and policy- or impact-oriented, with clear alignment between past work, current interests, and future goals","What core problem or issue motivates your academic path?

What coursework or research most shaped your intellectual direction?

What academic topics at LSE are you most excited to explore?

What skills or methods do you want to gain from this program?

How will this program help you achieve your career or research goals?

",,,,,,,,,,,,,,
48,"Please read parts (a) and (b) below carefully and write an essay addressing both questions, with part (a) constituting at least half of the total length. Footnotes do not count towards the overall word limit as long as they are limited to providing sources and citations. Your entire statement should be no more than 1,500 words—anything exceeding the word limit will be disallowed. Please type your statement with your full name on the top of each page.
a.	Briefly describe either an important issue in your field of interest or a current legal problem facing a particular country, region, or the world, and then propose and analyse a theoretical framework or legal strategy to address this issue. For the avoidance of doubt, your response should not be limited to outlining a research plan or proposal. Successful essays will contain substantive analysis of the issue identified. 

b.	Please tell us something about yourself—in particular, why you wish to pursue an LL.M. degree at Harvard and how doing so connects with what you have done in the past and what you plan to do in the future.",1500 words,Harvard University,Master of Laws,LLM,"Crux of the Topic
Harvard’s Admissions Committee is assessing:

Depth of legal knowledge and ability to analyse complex issues (Part a)

Critical thinking and originality in proposing a theoretical or legal strategy

Clarity of personal motivation for pursuing an LLM at Harvard (Part b)

Professional maturity and fit — they want to see that your goals, values, and prior work align with Harvard’s mission and resources

Balance between intellectual rigor and personal narrative

This is an academic-analytical + personal-professional hybrid essay, requiring you to demonstrate both legal scholarship and compelling storytelling.

How to Approach It
Part (a) — At least 50% of total length (~800–900 words)
Pick an issue with depth and relevance

It should be significant in your field and globally/regionally relevant.

Examples: climate litigation, cross-border data privacy, AI regulation, constitutional reform, refugee rights, corporate accountability in supply chains, etc.

Frame the issue clearly

Start with a brief context-setting: scale, urgency, stakeholders affected.

Cite key cases, statutes, treaties, or legal principles as needed (footnotes allowed).

Analyse root causes & challenges

Show you understand not just the “what” but the “why” and “how” of the problem.

Propose a theoretical framework or legal strategy

Must be grounded in legal theory yet practical enough to be implementable.

Consider comparative law perspectives or interdisciplinary inputs.

Show originality — not just summarising existing solutions.

Critically analyse your own proposal

Anticipate challenges, limitations, and counterarguments.

Suggest ways to address these weaknesses.

Part (b) — Remaining ~600–700 words
Personal background and motivation

Connect your professional experiences and values to the legal issue discussed in Part (a).

Show how your past work has prepared you to tackle this kind of challenge.

Why Harvard LLM

Specific courses, faculty, clinics, research centres, or journals.

Harvard’s global network and interdisciplinary opportunities.

Future trajectory

Clear short-term and long-term goals.

Show how the Harvard LLM is a logical and necessary step in achieving them","What pressing legal issue in your field demands urgent, innovative solutions?

Which gaps in current legal responses frustrate you the most?

What original framework or legal tool could fill these gaps?

Which Harvard faculty, clinics, or courses directly support your proposed work?

How will your LLM-fueled expertise create measurable change in your country or field?

",,,,,,,,,,,,,,
49,Personal Statement ,"2 pages maximum, 12-point font, 1-inch margins, double spacing",Columbia University,Master of Laws,LLM,"Crux of the Topic
Columbia wants to see:

Your professional and academic journey — the “why” behind your legal path

Motivation for pursuing an LLM — specifically why Columbia

Clarity of career goals — immediate and long-term

Personal qualities — resilience, leadership, cross-cultural understanding, intellectual curiosity

A narrative that ties your past experiences, present purpose, and future ambitions together

How to Approach It
Start with a defining professional or personal moment

Something that encapsulates your legal values or ambition

Can be a case, policy challenge, injustice, or turning point

Trace your legal journey

Academic foundation → key professional milestones → challenges overcome

Emphasize impact, leadership, and problem-solving

Highlight your specialization interest

Why this area of law matters to you and to society

Show both passion and practical relevance

Explain “Why Columbia”

Name faculty, courses, clinics, journals, or research centers that align with your goals

Emphasize Columbia’s location in New York and its global legal network

End with a forward-looking vision

Tie in your values, the LLM, and your long-term impact","What single event best represents why you chose a legal career?

Which professional challenge most shaped your expertise?

How does your specialization choice align with global or local legal needs?

Which Columbia resources will directly advance your mission?

What change do you want to drive in the next 10 years?",,,,,,,,,,,,,,
Personal Statement,"A statement of academic purpose For most programs, we recommend that the statement of purpose be 1-3 pages long, single-spaced.  

 

Focus on Environmental Humanities - focus on environment, built environments and literature; geography and urbanization; the atmosphere and setting of literary and artistic works and circles; ecopoetics; the poetics and politics of space ","1-3 pages long, single-spaced.",University of Chicago ,PhD,English,"Crux of the Topic
UChicago wants to see:

Intellectual clarity: your specific research interests in Environmental Humanities.

Academic preparation: coursework, research, or projects that prepared you.

Scholarly fit: why UChicago is the right place — faculty, methodologies, interdisciplinary approach.

Future vision: how you’ll contribute to the field and why this work matters.

How to Approach It
Anchor your essay in a specific research question or set of questions around the environment + literature/art/spatial politics.

Weave in your academic journey (relevant majors, research, projects, papers, or fieldwork).

Reference UChicago-specific faculty, labs, or programs in Environmental Humanities, Geography, or Comparative Literature.

Show an interdisciplinary lens: bridging literature, geography, history, and environmental studies.

End with future goals: doctoral work, teaching, policy, publishing, or applied humanities research.","What moment, text, or question first drew you to Environmental Humanities?

",,,,,,,,,,,,,,
,"A statement of academic purpose For most programs, we recommend that the statement of purpose be 1-3 pages long, single-spaced.  

 

Focus on Environmental Humanities - focus on environment, built environments and literature; geography and urbanization; the atmosphere and setting of literary and artistic works and circles; ecopoetics; the poetics and politics of space ",,,,,,"Which prior research papers, projects, or classes prepared you?
",,,,,,,,,,,,,,
,"A statement of academic purpose For most programs, we recommend that the statement of purpose be 1-3 pages long, single-spaced.  

 

Focus on Environmental Humanities - focus on environment, built environments and literature; geography and urbanization; the atmosphere and setting of literary and artistic works and circles; ecopoetics; the poetics and politics of space ",,,,,,"Which intersections (literature + space, geography + ecopoetics, urbanization + politics of space) excite you most?
",,,,,,,,,,,,,,
,"A statement of academic purpose For most programs, we recommend that the statement of purpose be 1-3 pages long, single-spaced.  

 

Focus on Environmental Humanities - focus on environment, built environments and literature; geography and urbanization; the atmosphere and setting of literary and artistic works and circles; ecopoetics; the poetics and politics of space ",,,,,,"Which UChicago faculty or centers align with your interests?

",,,,,,,,,,,,,,
,"A statement of academic purpose For most programs, we recommend that the statement of purpose be 1-3 pages long, single-spaced.  

 

Focus on Environmental Humanities - focus on environment, built environments and literature; geography and urbanization; the atmosphere and setting of literary and artistic works and circles; ecopoetics; the poetics and politics of space ",,,,,,How do you envision your long-term contribution to the field?,,,,,,,,,,,,,,
,"Please describe your aptitude and motivation for graduate study in your area of specialization, including your preparation for this field of study, your academic plans or research interests, and your future career goals. Please be specific about why UC Berkeley would be a good intellectual fit for you.",1000 words,"University of California, Berkeley",PhD,Liberal Arts,"Crux of the Topic
UC Berkeley is using this prompt to assess three core things:

Academic Readiness: Have you built sufficient intellectual groundwork and skills for a PhD in Liberal Arts?

Purpose and Direction: Do you have a clear research focus and compelling reasons for pursuing this path?

Program Fit: Why is Berkeley — with its faculty, resources, and academic culture — the right place for your PhD?

They’re looking for maturity of thought, scholarly motivation, and a strong alignment between your goals and what their program offers.","1. What academic moment first sparked your passion for liberal arts research?
2. Which theories or authors have most shaped your intellectual worldview?
3. What specific research questions are you eager to explore in your PhD?
4. How does UC Berkeley’s faculty or resources align with your interests?
5. What impact do you hope your work will have in academia or society?",,,,,,,,,,,,,,
,Statement of Purpose,1500 words,INSEAD,PhD,Technology and operations management,"Crux of the Topic
INSEAD is assessing whether you are intellectually driven, well-prepared, and strategically aligned with their rigorous, research-focused doctoral program in Technology and Operations Management (TOM). They want to know:

Academic Maturity – Do you understand the field and its research landscape?

Research Potential – Do you have a viable research direction that fits INSEAD’s faculty expertise?

Program Fit – Why INSEAD specifically? How will you thrive in and contribute to their TOM group?

Career Vision – Are you committed to an academic or research-intensive career?","
1. What real-world problem sparked your interest in operations or technology management?
2. Which academic theories or models intrigue you most in the TOM field?
3. What specific research questions would you explore during your PhD?
4. Which INSEAD faculty members’ work aligns with your research interests?
5. What long-term impact do you want to make through your research?",,,,,,,,,,,,,,
,Statement of Purpose,1000 words,Oxford,Dphil,Public Piolicy,"Crux of the Topic
Oxford’s Blavatnik School of Government is looking to assess:

Intellectual Maturity – Have you developed a deep, critical understanding of public policy issues?

Research Readiness – Are you equipped to undertake rigorous, independent doctoral research?

Policy Relevance – Does your research have the potential for real-world impact in solving public problems?

Oxford Fit – Are you aligned with Oxford’s research strengths and faculty in public policy?

The focus is both academic and applied — they want scholars who will contribute to policy-making through rigorous research.","1. What policy issue are you most passionate about solving through research?
2. How has your academic or professional background shaped your policy interests?
3. What specific research question do you want to explore at Oxford?
4. Which Oxford faculty or labs align with your research focus?
5. How will your DPhil research influence real-world policy outcomes?",,,,,,,,,,,,,,
,"All applicants must submit a statement of academic purpose. Please compose a succinct statement of approximately 1,000 words describing your past academic work and preparation related to your intended field of study, your plans for graduate study at Columbia, and your subsequent career objectives. If you intend to leave a graduate program at another university, please explain why you wish to do so. If you are not currently pursuing an academic program, please describe your activities since you were last enrolled in an academic institution. If there has been a break in your educational experience, please include a brief explanation.									
									
									
									
									",1000 words,Columbia,PhD,Sociology,"Crux of the Topic
Columbia’s Sociology Department uses this prompt to evaluate:

Academic Preparedness – How well your past studies and research experiences equip you for doctoral-level sociological inquiry.

Research Direction – Do you have a clear, original, and viable area of research interest?

Program Fit – How well your interests align with Columbia’s departmental strengths, faculty, and research centers.

Personal and Professional Context – Are you transitioning from another program or returning from a break? How do your personal or professional experiences support your candidacy?

They want intellectually grounded applicants who can contribute to the department’s scholarly community and pursue impactful sociological research.","1. What sociological issue or question first captivated your academic interest?
2. Which theories or frameworks most influence your research approach today?
3. What specific sociological topic do you hope to explore at Columbia?
4. Which Columbia faculty or centers align with your academic goals?
5. How will your research contribute to the field and your long-term objectives?",,,,,,,,,,,,,,
,"""Personal History Statement:
In an essay, discuss how your personal background informs your decision to pursue a graduate degree. Please include any educational, familial, cultural, economic, or social experiences, challenges, or opportunities relevant to your academic journey; how you might contribute to social or cultural diversity within your chosen field; and/or how you might serve educationally underrepresented segments of society with your degree.""									
									
									
									
									",1500 words,UC Berkeley,PhD,Sociology,"Crux of the Topic
UC Berkeley’s Personal History Statement is designed to assess:

Contextual Background – How your personal, familial, social, or cultural identity has shaped your academic journey.

Resilience & Perspective – Challenges you've overcome, and how they inform your approach to scholarship.

Commitment to Equity & Inclusion – How you contribute to diversity in academia or support underrepresented communities.

Personal Motivation – The deeper, human reasons behind your pursuit of a PhD in Sociology.

Unlike the Statement of Purpose, this is not a research-driven essay — it is a reflective, narrative-driven one rooted in identity, values, and lived experience.","1. What personal experience most shaped your worldview or sense of justice?
2. What major life obstacle have you overcome to pursue education?
3. How has your identity or background influenced your academic path?
4. In what ways can your voice enrich sociology’s understanding of society?
5. How do you plan to support underserved communities through your work?",,,,,,,,,,,,,,
,"""Statement of Purpose Essay

Your statement of purpose should use the following format.

 At the beginning of the essay, first state:

Research area you would like to contribute to (1-2 sentences) 
OS Comments: Machine Learning in Healthcare with a focus on applying Deep Learning techniques in the Drug Discovery process to develop software programs that can accurately recommend prescription drugs to doctors based on the patient's medical history. These programs can also help doctors identify alternative drugs by running machine learning algorithms on a corpus of patients with similar ailments.

Potential advisors (2-3 UMSI faculty) 
OS Comments: 
1. David Jurgens (Professor of Data Mining & Natural Language Processing) -- He is an expert at Machine Learning, especially Deep Learning in Computer Science and has research interests in understanding the psychology behind human interaction. He could help me learn about the social aspects of the communciation process between doctors and patients whilst I develop deep learning algorithms. The algorithms need to consider the social aspects of communication.
http://jurgens.people.si.umich.edu

2. VG Vinod Vydiswaran (Health Informatics Professor having strong CS background) -- He is an expert at the Data Mining & NLP side of Health Informatics. He could help me understand how the health IT industry works and the role of machine learning in healthcare. He is the person who developed the famous Data Mining course at my school. He is a data mining specialist in health IT and could serve as my principal advisor.
https://www.si.umich.edu/people/vg-vinod-vydiswaran

2. Karandeep Singh (Health Informatics Professor) -- He is an accomplished MD physician with a strong background in cellular and molecular biology and biomedical informatics. He has strong connections with Harvard Medical School and Brigham and Women's Hospital from where he earnt his biomedical informatics MS and completed a residency in internal medicine. He holds two degrees from the University of Michigan and one degree from Harvard. He has a strong interest in applying data science techniques in healthcare and could help me understand the drug discovery process and how medicine works in the human body at the cellular/molecular level.
http://healthinformatics.umich.edu/faculty/karandeep-singh-md-mmsc

Essay should then address the following questions in 4-6 pages (double-spaced) in any order or format:

Describe prior research experiences, courses, or projects that have prepared you for doctoral study.
OS Comments: Will cover STAR stories 1, 2, 5, 8, 11, 12, 13, 14, 15

Explain in some detail the research area you would like to contribute to:
Specify at least one area, discipline, or method that you would like to learn in depth;
OS Comments: Deep Learning using Neural Networks in Artificial Intelligence (which is used widely in Biomedical applications). I have found several research publications that I could use to explain this area and cite in references.

Describe one other area, discipline, or method that would round out the breadth of your knowledge and why it would be a valuable part of your education.
OS Comments: Drug Discovery in Healthcare IT (I have a personal interest in prescription medicine). I could google and find more information to include for this part of my SOP.

Explain why you identified the potential advisors you did.
OS Comments: Already explained above

Give an example of a research project you are excited about: one you have conducted, one you would like to conduct, or one that you have read about.
OS Comments: I could talk about developing a machine learning model to develop an artificial intelligence technique to help doctors discover new prescription drugs based on a patient's medical history. What will be interesting is that I could transform past medical records into machine readable format and apply deep learning techniques to build my predictive model. I could also describe my understanding of a novel research publication and describe my overall personal experience as a research assistant.""									
									
									
									
									","4-6 pages (double-spaced)									",University of Michigan,PhD,Informantion,"Crux of the Topic
This SOP is designed to evaluate both your research maturity and your alignment with the program. Specifically, UMSI wants to assess:

Depth and Breadth of Preparation – Do you have relevant technical and research background to succeed at a PhD level?

Clarity of Research Agenda – Do you have a well-formed research direction with compelling, socially relevant questions?

Intellectual Fit – Are your interests aligned with UMSI’s interdisciplinary focus and the expertise of its faculty?

Learning Goals – Are you aware of both what you bring and what you need to learn (both in methods and domain knowledge)?

Original Thought and Impact – Can you think creatively about real-world problems and propose data-driven, human-aware solutions?","Which project best demonstrates your ability to apply ML in a healthcare context?

What’s the most exciting deep learning technique you want to master for your research?

Why is drug discovery — not just general healthcare — your focus area?

How would each of your listed advisors specifically support different dimensions of your research?

How does your personal interest in prescription medicine shape your academic goals?

",,,,,,,,,,,,,,
,"""Personal Statement (500 word limit)
How have your background and life experiences, including cultural, geographical, financial, educational, citizenship status or other opportunities or challenges, motivated your decision to pursue a graduate degree at the University of Michigan?

For example, if you grew up in a community where educational, cultural, or other opportunities were either especially plentiful or especially lacking or are undocumented or DACAmented, you might discuss the impact this had on your development and interests. This should be a discussion of the journey that has led to your decision to seek a graduate degree. If you will be a graduate student with Deferred Action for Childhood Arrival (DACA), it is important to mention DACA in your personal statement since this is a consideration for some financial aid.

Do not repeat your Academic Statement of Purpose.

Note: Who will read this statement? 

The following information is required on the header of your Personal Statement:

Write """"Personal Statement"""" at the top of your document
Your name
The name of the graduate program
Your 8 digit U-M ID (if known)
Make sure your margins are set up at one-inch and that any inserted tables fit within those margins to avoid pages being added or removed in your original document(s). You can also convert your documents to PDF format before uploading.

OS Comments: I will be using my ReachIvy Michigan MS Personal Statement and will update it with my personal experience at Michigan over the last two years.""									
									
									
									
									",500 words,University of Michigan,PhD,Informantion,"Crux of the Topic
This personal statement is intended to evaluate:

Context and Background – Where you come from (geographically, socioeconomically, culturally) and how that shaped your educational path.

Motivation – What personal experiences or challenges have driven your decision to pursue graduate study.

Resilience and Growth – How you’ve navigated adversity, adapted to opportunity, or built your identity as a future scholar.

Equity and Perspective – What unique perspective you’ll bring to Michigan’s academic community, especially related to social or educational diversity.

This essay is not about academic qualifications or research goals — it’s a personal story about the human journey that led to your intellectual ambitions.","1. What core challenge or theme defines your upbringing or life journey?

2. How did your cultural or geographic background shape your access to education?

3. What moment most strongly affirmed your decision to pursue graduate study?

4. How have financial, social, or immigration challenges influenced your goals?

5. What perspective or strength from your background will you bring to Michigan?",,,,,,,,,,,,,,
,Statement of Purpose,5 pages,University of Michigan - Ross school of Business,Phd,,"Crux of the Topic
Ross is looking for candidates who are not just academically strong but intellectually curious, research-ready, and a strong match for the school’s faculty and research culture. Through this SOP, they assess:

Research Vision – What are your long-term research interests, and what original questions do you want to explore?

Academic Preparation – How have your academic and professional experiences equipped you for rigorous doctoral research?

Methodological Readiness – What analytical, technical, or conceptual tools have you developed — and what do you want to deepen?

Ross Fit – Why Ross? Which faculty align with your interests? How will you contribute to the Ross research community?

Career Commitment – Are you motivated to pursue a research-focused academic career?

","1. What business research problem fascinates you the most, and why?

2. What’s a past research project that shaped your academic direction?

3. Which Ross faculty members’ work closely aligns with your goals?

4. What theoretical or methodological tools do you want to master?

5. What long-term impact do you want your research to achieve?",,,,,,,,,,,,,,
